url,ein,title,org_type
https://archive.la2050.org/sustaynabl,475118457,Sustaynabl,For profit business
https://archive.la2050.org/synaccord-llc,47448496,"Synaccord, LLC",For profit business
https://archive.la2050.org/tagliaferri-howard-architecture,472358063,Tagliaferri Howard Architecture,For profit business
https://archive.la2050.org/take-back-the-grid,383887267,Take Back the Grid,For profit business
https://archive.la2050.org/team-friday,462219140,Team Friday,For profit business
https://archive.la2050.org/tech-la-cares,841631105,Tech LA Cares,For profit business
https://archive.la2050.org/tempest-action-parks,262209104,Tempest Action Parks,For profit business
https://archive.la2050.org/thank-you-for-coming,460661052,Thank You For Coming,For profit business
https://archive.la2050.org/the-abc-club,462405649,The ABC Club,For profit business
https://archive.la2050.org/the-burg-llc,813935203,"The Burg, LLC",For profit business
https://archive.la2050.org/the-glue,462089483,The Glue,For profit business
https://archive.la2050.org/the-incubator-school,465274049,The Incubator School,Government
https://archive.la2050.org/the-last-bookstore,208970937,The Last Bookstore,For profit business
https://archive.la2050.org/the-natch-inc,813470225,Natch,For profit business
https://archive.la2050.org/the-prep-source,470992851,The Prep Source,For profit business
https://archive.la2050.org/the-waters-wheel-llc,800831358,"The Waters Wheel, LLC",For profit business
https://archive.la2050.org/theatrum-elysium-san-pedro-rep,455055360,"Theatrum Elysium, San Pedro Rep",For profit business
https://archive.la2050.org/think-tank-productions-inc-dba-think-tank-gallery,300445999,"Think Tank Productions, Inc. dba Think Tank Gallery",For profit business
https://archive.la2050.org/thrdplace,275115367,ThrdPlace,For profit business
https://archive.la2050.org/tickleberry-place,465040951,Tickleberry Place,For profit business
https://archive.la2050.org/tiny-rebellion,954280254,Tiny Rebellion,For profit business
https://archive.la2050.org/twigg-how-to,813851393,TWIGG How-To,For profit business
https://archive.la2050.org/unique-la,10973080,UNIQUE LA,For profit business
https://archive.la2050.org/unitedlab,453306366,UNITEDLAB,For profit business
https://archive.la2050.org/urban-air,263261159,URBAN AIR,For profit business
https://archive.la2050.org/urban-macrosystems,565687413,Urban Macrosystems,For profit business
https://archive.la2050.org/verynice,455282740,verynice,For profit business
https://archive.la2050.org/voter-llc,464743109,"Voter, LLC",For profit business
https://archive.la2050.org/w-tenth-co,832100573,W Tenth Co,For profit business
https://archive.la2050.org/we-are-the-mighty,465406542,We Are the Mighty,For profit business
https://archive.la2050.org/wise-guys-events,208656297,Wise Guys Events,For profit business
https://archive.la2050.org/with-love-market-and-cafe-with-love-community-market-and-cafe,463776168,"With Love Market and Cafe, With Love Community Market and Cafe",For profit business
https://archive.la2050.org/world-famous-vip-records-llc,820873052,World Famous VIP Records LLC,For profit business
